step, rewards, best_reward, 100_episode_avg_reward
0, -1785, -9223372036854775807, 0.000000
500, -3559, 0, -1785.746034
1000, -3594, 0, -2672.689105
1500, -2257, 0, -2979.884553
2000, -2974, 0, -2799.392657
2500, -4663, 0, -2834.405638
3000, -2765, 0, -3139.187748
3500, -2837, 0, -3085.808833
4000, -3902, 0, -3054.723477
4500, -3711, 0, -3148.892018
5000, -3402, 0, -3205.183263
5500, -3077, 0, -3223.140673
6000, -3182, 0, -3210.997111
6500, -3585, 0, -3208.840803
7000, -2796, 0, -3235.728464
7500, -3277, 0, -3206.422327
8000, -2138, 0, -3210.864296
8500, -1591, 0, -3147.761028
9000, -2470, 0, -3061.310189
9500, -1663, 0, -3030.223418
10000, -2117, 0, -2961.906902
10500, -257, 0, -2921.717661
11000, -505, 0, -2800.619060
11500, -1109, 0, -2700.828477
12000, -254, 0, -2634.542976
12500, -2681, 0, -2539.330261
13000, -771, 0, -2544.801572
13500, -741, 0, -2479.116752
14000, -372, 0, -2417.068140
14500, -747, 0, -2346.550102
15000, -999, 0, -2293.245037
15500, -255, 0, -2251.522624
16000, -378, 0, -2189.136627
16500, -1350, 0, -2134.274427
17000, -1014, 0, -2111.223730
17500, -753, 0, -2079.893589
18000, -383, 0, -2043.040085
18500, -2, 0, -1998.185677
19000, -255, 0, -1945.674388
19500, -637, 0, -1902.331969
20000, -1778, 0, -1870.700983
20500, -265, 0, -1868.459057
21000, -502, 0, -1830.300084
21500, -131, 0, -1799.426577
22000, -1619, 0, -1761.507889
22500, -246, 0, -1758.355988
23000, -131, 0, -1725.492216
23500, -510, 0, -1691.572031
24000, -1019, 0, -1666.966288
24500, -255, 0, -1653.750609
25000, -256, 0, -1625.788249
25500, -372, 0, -1598.935304
26000, 0, 0, -1575.345030
26500, -264, 0, -1545.638330
27000, -757, 0, -1521.914079
27500, -368, 0, -1508.017971
28000, -131, 0, -1487.663306
28500, -510, 0, -1463.876750
29000, -259, 0, -1447.433680
29500, -1, 0, -1427.307319
30000, -503, 0, -1403.541200
30500, -3, 0, -1388.784883
31000, -838, 0, -1366.446756
31500, -763, 0, -1358.066886
32000, -1110, 0, -1348.782939
32500, -129, 0, -1345.123536
33000, -258, 0, -1326.703130
33500, -136, 0, -1310.765659
34000, -381, 0, -1293.492074
34500, -506, 0, -1280.277703
35000, -386, 0, -1269.221831
35500, -1, 0, -1256.784492
36000, -508, 0, -1239.349008
36500, -927, 0, -1229.336411
37000, -132, 0, -1225.253745
37500, -632, 0, -1210.680858
38000, -759, 0, -1203.079021
38500, -784, 0, -1197.314969
39000, -751, 0, -1192.025642
39500, -1, 0, -1186.445263
40000, -388, 0, -1171.630567
40500, -377, 0, -1161.957275
41000, -492, 0, -1152.386719
41500, -245, 0, -1144.441659
42000, -645, 0, -1133.736415
42500, -7, 0, -1127.995188
43000, -387, 0, -1114.962459
43500, -626, 0, -1106.597851
44000, -127, 0, -1101.142389
44500, -509, 0, -1090.201121
45000, -387, 0, -1083.752255
45500, -127, 0, -1076.096954
46000, -889, 0, -1065.788567
46500, 0, 0, -1063.887710
47000, -659, 0, -1052.578370
47500, -135, 0, -1048.442954
48000, -578, 0, -1038.936907
48500, -129, 0, -1034.184984
49000, -756, 0, -1024.954536
49500, -505, 0, -1022.242411
50000, -255, 0, -1017.079433
50500, -636, 0, -1001.781539
51000, -532, 0, -972.554718
51500, -255, 0, -941.941638
52000, -257, 0, -921.915402
52500, -132, 0, -894.748241
53000, -624, 0, -849.439075
53500, -513, 0, -828.030211
54000, -1, 0, -804.795929
54500, 0, 0, -765.792864
55000, -254, 0, -728.674902
55500, -1021, 0, -697.194835
56000, -759, 0, -676.632236
56500, -372, 0, -652.399843
57000, -398, 0, -620.271754
57500, -504, 0, -596.298848
58000, -387, 0, -568.566230
58500, -260, 0, -551.056627
59000, -260, 0, -537.741241
59500, -510, 0, -515.636555
60000, -253, 0, -504.098105
60500, -130, 0, -485.455564
61000, -257, 0, -484.186635
61500, -511, 0, -481.702437
62000, -385, 0, -475.722244
62500, -498, 0, -477.032688
63000, -259, 0, -455.199824
63500, -257, 0, -450.079481
64000, -129, 0, -445.237225
64500, -1256, 0, -442.815067
65000, -502, 0, -447.908538
65500, -1, 0, -442.939782
66000, -494, 0, -440.400549
66500, -4, 0, -441.554212
67000, -986, 0, -428.090135
67500, -761, 0, -427.806349
68000, -129, 0, -427.888004
68500, -256, 0, -425.344303
69000, -253, 0, -427.880494
69500, -1178, 0, -427.862512
70000, -259, 0, -433.280158
70500, -250, 0, -418.092081
71000, -374, 0, -417.939054
71500, -498, 0, -416.658673
72000, -658, 0, -420.337621
72500, -773, 0, -410.729623
73000, -601, 0, -416.001424
73500, -386, 0, -420.708781
74000, -2, 0, -419.473469
74500, -251, 0, -409.305922
75000, -505, 0, -409.267585
75500, 0, 0, -411.755597
76000, -256, 0, -408.041551
76500, -372, 0, -410.599015
77000, -509, 0, -411.681631
77500, -641, 0, -409.196917
78000, -133, 0, -411.929156
78500, -1764, 0, -411.950230
79000, -127, 0, -424.489642
79500, -132, 0, -423.163689
80000, -384, 0, -424.477661
80500, -711, 0, -423.285196
81000, -126, 0, -430.366275
81500, -760, 0, -423.246972
82000, -500, 0, -423.216719
82500, -1, 0, -417.110703
83000, -383, 0, -415.828782
83500, -769, 0, -417.070106
84000, -1012, 0, -423.408128
84500, -126, 0, -429.715673
85000, -255, 0, -425.919241
85500, -637, 0, -424.610870
86000, -370, 0, -430.972764
86500, 0, 0, -429.593912
87000, -642, 0, -420.329262
87500, -129, 0, -425.433927
88000, -501, 0, -420.395731
88500, -127, 0, -417.815952
89000, 0, 0, -411.241276
89500, -508, 0, -403.735810
90000, -627, 0, -408.809767
90500, 0, 0, -411.199848
91000, -383, 0, -407.437836
91500, -643, 0, -406.346457
92000, -386, 0, -410.327791
92500, -260, 0, -407.734950
93000, -265, 0, -410.265717
93500, -125, 0, -409.045416
94000, -738, 0, -404.032020
94500, -377, 0, -410.140581
95000, -515, 0, -408.817821
95500, -375, 0, -410.104247
96000, -379, 0, -412.578931
96500, -1, 0, -407.485622
97000, -505, 0, -407.487721
97500, -256, 0, -405.942079
98000, -248, 0, -407.143602
98500, -257, 0, -403.843710
99000, -380, 0, -405.123545
99500, -382, 0, -401.361982
